index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
383,61.0,11.0,Norvège,#c69f59,Non,0.001305954369382133,92.27444140470544
384,61.0,12.0,Norvège,#c69f59,Non,0.0012608733674277569,89.08916604529718
386,60.0,6.0,Norvège,#c69f59,Non,0.0036260545050419823,256.2050878654093
387,60.0,7.0,Norvège,#c69f59,Non,0.0023923447959299893,169.03521659515187
388,60.0,8.0,Norvège,#c69f59,Non,0.0018757779268705282,132.53630024083017
389,60.0,9.0,Norvège,#c69f59,Non,0.0015784671450847383,111.52929803916861
390,60.0,10.0,Norvège,#c69f59,Non,0.001578322881129752,111.51910482248866
391,60.0,11.0,Norvège,#c69f59,Non,0.001578322881129752,111.51910482248866
392,60.0,12.0,Norvège,#c69f59,Non,0.0015482385596549345,109.39344559257107
394,59.0,6.0,Norvège,#c69f59,Non,0.0035621538960189103,251.69008095455214
395,59.0,7.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
396,59.0,8.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
397,59.0,9.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
398,59.0,10.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
417,53.0,5.0,Pays-Bas,#04d8b2,Non,0.003244428028282964,2677.632177721905
418,53.0,6.0,Pays-Bas,#04d8b2,Non,0.002392290138230777,1974.3612731528406
419,53.0,7.0,Pays-Bas,#04d8b2,Non,0.002392290138230777,1974.3612731528406
420,52.0,4.0,Pays-Bas,#04d8b2,Non,0.003200447566831539,2641.335025266433
421,52.0,5.0,Pays-Bas,#04d8b2,Non,0.002176444268148406,1796.2232956348716
422,52.0,6.0,Pays-Bas,#04d8b2,Non,0.0018212574103916687,1503.0869550711088
423,51.0,6.0,Allemagne,#7b0323,Non,0.0015248778160523782,3479.9055181371054
425,42.0,-9.0,Espagne,#cf524e,Non,0.0015200223502499837,2028.8891905928795
426,41.0,-9.0,Portugal,#FF00FF,Non,0.001215924297068249,1265.1726756941173
427,41.0,-8.0,Portugal,#FF00FF,Non,0.0012374882875116002,1287.6100688390998
428,41.0,-7.0,Portugal,#FF00FF,Non,0.0012374882875116002,1287.6100688390998
